popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
30,0.9740000000000001,0.425,351427,0.27399999999999997,0.945,0.10099999999999999,-13.4,0.0415,138.197,0.39299999999999996,0
68,0.0467,0.713,195635,0.495,0.0,0.215,-6.885,0.11,130.04399999999998,0.426,1
35,0.973,0.218,310000,0.139,0.0006259999999999999,0.11599999999999999,-20.862,0.047,93.12,0.17,0
38,0.6779999999999999,0.12,247067,0.387,0.9159999999999999,0.107,-15.298,0.0393,90.09,0.043,0
60,0.0331,0.6940000000000001,265366,0.493,2.04e-06,0.431,-8.581,0.373,166.457,0.313,1
59,0.0529,0.529,222507,0.87,0.0,0.0946,-3.32,0.327,182.1,0.36,1
64,0.652,0.597,179067,0.418,0.0,0.12,-10.03,0.177,129.94799999999998,0.313,1
32,0.9790000000000001,0.311,259609,0.0662,0.8370000000000001,0.111,-27.401999999999997,0.0368,111.353,0.17,0
43,0.996,0.457,138840,0.0252,0.875,0.0975,-35.116,0.0621,74.137,0.168,0
53,0.862,0.49,189507,0.193,9.74e-06,0.113,-9.544,0.0421,89.154,0.184,1
19,0.9940000000000001,0.518,82693,0.00602,0.851,0.0979,-31.430999999999997,0.0797,132.811,0.281,0
69,0.00197,0.35200000000000004,220147,0.912,0.0,0.193,-4.253,0.0725,166.795,0.35100000000000003,1
14,0.8859999999999999,0.444,333739,0.214,0.337,0.49,-21.618000000000002,0.046,122.883,0.523,0
14,0.98,0.11,411719,0.11699999999999999,0.42700000000000005,0.10800000000000001,-23.435,0.0435,169.011,0.134,0
63,0.413,0.9259999999999999,231787,0.544,9.54e-05,0.11199999999999999,-6.827000000000001,0.0727,115.95100000000001,0.6559999999999999,1
63,0.0139,0.63,220999,0.9690000000000001,0.000865,0.0698,-2.215,0.0522,101.014,0.792,1
34,0.7120000000000001,0.433,67667,0.10800000000000001,0.93,0.544,-19.49,0.034,74.14399999999999,0.215,0
52,0.00013700000000000002,0.373,261040,0.8759999999999999,0.0021100000000000003,0.384,-3.867,0.0396,89.98299999999999,0.285,0
0,0.985,0.217,472653,0.0596,0.000128,0.196,-24.3,0.0591,169.99200000000002,0.0605,0
66,0.517,0.36700000000000005,215840,0.215,0.0,0.618,-16.652,0.0288,98.742,0.266,1
75,0.0688,0.909,194875,0.55,8.97e-05,0.11,-7.795,0.0728,130.036,0.18899999999999997,1
72,0.0974,0.491,194533,0.617,0.0,0.27,-4.545,0.147,126.816,0.17,1
28,0.762,0.532,156267,0.22699999999999998,0.9470000000000001,0.165,-17.659000000000002,0.0327,120.01100000000001,0.253,0
27,0.977,0.386,349000,0.218,0.82,0.0715,-16.032,0.0358,84.605,0.259,0
39,0.000508,0.28800000000000003,236733,0.988,5.6999999999999996e-05,0.152,-3.6239999999999997,0.0951,184.93,0.18100000000000002,0
61,0.134,0.474,197627,0.565,0.0,0.0761,-5.2379999999999995,0.0309,101.896,0.275,1
66,0.537,0.597,219939,0.46,0.0,0.127,-6.941,0.0251,144.001,0.217,1
28,0.851,0.159,754720,0.0301,0.342,0.105,-27.406999999999996,0.043,107.22399999999999,0.0367,0
6,0.97,0.271,83507,0.26899999999999996,0.193,0.586,-17.081,0.0341,145.554,0.38,0
32,0.985,0.345,409720,0.0085,0.857,0.087,-25.381999999999998,0.049,129.6,0.0518,0
62,0.19,0.726,160281,0.7290000000000001,0.0,0.382,-5.757999999999999,0.0334,110.001,0.84,1
49,0.000307,0.499,247160,0.8909999999999999,0.0,0.0986,-5.612,0.0522,84.93299999999999,0.302,0
23,0.993,0.35100000000000003,342840,0.0069,0.9159999999999999,0.092,-30.916999999999998,0.0456,127.78200000000001,0.0951,0
73,0.0127,0.71,189677,0.8420000000000001,0.0,0.155,-3.156,0.0428,124.119,0.7609999999999999,1
43,0.961,0.618,262347,0.00123,0.271,0.0669,-34.374,0.201,70.16199999999999,0.431,0
31,0.991,0.309,185600,0.115,0.9490000000000001,0.10800000000000001,-24.448,0.0342,135.649,0.604,0
10,0.934,0.31,349533,0.127,0.387,0.109,-23.284000000000002,0.0498,135.423,0.298,0
25,0.99,0.34600000000000003,633750,0.0261,0.903,0.0631,-32.064,0.0462,127.37100000000001,0.0814,0
31,0.9940000000000001,0.31,101987,0.114,0.938,0.11199999999999999,-21.739,0.0355,101.82700000000001,0.379,0
54,0.0254,0.754,214093,0.7929999999999999,0.0,0.12300000000000001,-4.635,0.0458,92.00200000000001,0.67,1
67,0.0223,0.672,229080,0.593,0.0,0.214,-4.01,0.0304,98.02,0.43799999999999994,1
46,0.992,0.331,52067,0.0387,0.883,0.09699999999999999,-27.98,0.032,72.322,0.419,0
33,0.82,0.27899999999999997,967933,0.254,0.943,0.151,-19.877,0.0463,65.061,0.385,0
33,0.937,0.33899999999999997,68600,0.318,0.934,0.226,-20.949,0.0421,153.77,0.838,0
23,0.98,0.359,67560,0.105,0.8959999999999999,0.182,-24.569000000000003,0.0282,89.439,0.38299999999999995,0
70,0.0004,0.45299999999999996,193653,0.9420000000000001,2.65e-06,0.667,-4.256,0.0466,143.85,0.457,1
73,0.11699999999999999,0.537,195920,0.469,1.78e-06,0.106,-8.486,0.0764,175.97099999999998,0.294,1
64,0.00364,0.767,275707,0.551,0.0,0.0451,-7.327999999999999,0.0616,100.904,0.7959999999999999,1
25,0.985,0.366,282000,0.34700000000000003,0.841,0.109,-17.584,0.0416,93.72200000000001,0.483,0
44,0.9940000000000001,0.41700000000000004,234000,0.0174,0.873,0.0684,-27.388,0.0349,66.278,0.0552,0
