popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
40,0.0591,0.418,229533,0.965,0.0,0.33,-2.992,0.119,179.967,0.377,0
61,0.692,0.609,199119,0.44,0.0,0.0688,-6.32,0.0265,108.427,0.43,1
44,0.991,0.237,154133,0.179,0.847,0.111,-19.264,0.0339,73.376,0.0621,0
81,0.0311,0.885,195992,0.543,0.0,0.154,-6.338,0.2,99.026,0.43,1
69,0.0866,0.746,202827,0.993,0.0548,0.0689,-2.134,0.0499,122.046,0.972,1
58,0.072,0.617,183478,0.742,0.0,0.0912,-5.23,0.393,137.079,0.692,1
69,0.004,0.677,238920,0.671,5.07e-05,0.413,-4.905,0.0361,137.046,0.527,1
35,0.984,0.27,236533,0.0141,0.981,0.12,-27.574,0.0353,77.762,0.0337,0
35,0.871,0.342,212293,0.26,0.628,0.247,-12.581,0.0279,69.712,0.241,0
69,0.0348,0.715,151665,0.363,0.0,0.0637,-8.265,0.0433,87.017,0.347,1
28,0.976,0.142,377507,0.0222,0.629,0.0849,-29.617,0.0458,93.772,0.0696,0
68,0.193,0.776,236000,0.762,0.0,0.18,-4.356,0.216,120.039,0.678,1
0,0.956,0.316,145453,0.291,0.00116,0.279,-20.129,0.0504,84.19,0.528,0
60,0.266,0.679,188027,0.553,0.0,0.0841,-6.074,0.0493,99.983,0.575,1
44,0.993,0.329,475540,0.015,0.919,0.136,-31.219,0.0482,66.763,0.0397,0
59,0.544,0.689,121739,0.311,0.0,0.0841,-10.821,0.0783,137.958,0.417,1
0,0.991,0.345,52028,0.288,0.906,0.122,-22.342,0.0465,96.037,0.9,0
62,0.974,0.516,55213,0.0971,0.951,0.108,-20.081,0.0559,107.037,0.46,1
79,0.279,0.899,214467,0.586,0.0,0.0836,-7.866,0.344,150.001,0.492,1
73,0.204,0.702,180480,0.473,0.0,0.0848,-7.499,0.0421,104.974,0.528,1
22,0.992,0.0977,240136,0.0167,0.952,0.107,-25.504,0.0454,74.503,0.153,0
36,0.96,0.383,482164,0.158,0.76,0.106,-17.385,0.0517,152.599,0.169,0
40,0.972,0.353,171093,0.0812,0.89,0.1,-27.665,0.0609,109.816,0.547,0
34,0.000853,0.405,272478,0.971,5.26e-06,0.332,-4.422,0.0461,96.03,0.464,0
36,0.971,0.265,466293,0.0689,0.754,0.0807,-25.925,0.0453,95.684,0.253,0
44,0.989,0.548,267895,0.0555,0.93,0.105,-23.221,0.038,65.125,0.2,0
31,0.66,0.251,250253,0.0657,0.845,0.114,-20.757,0.0449,133.095,0.15,0
69,0.283,0.505,195701,0.68,0.0,0.175,-3.423,0.0336,139.843,0.362,1
12,0.987,0.524,233771,0.128,0.0025,0.171,-16.759,0.0533,105.661,0.462,0
0,0.842,0.236,246533,0.0896,0.141,0.259,-25.681,0.0375,104.847,0.342,0
42,0.982,0.191,384893,0.112,0.904,0.101,-25.688,0.0394,139.198,0.328,0
31,0.993,0.281,225440,0.0293,0.803,0.1,-26.591,0.0441,84.758,0.0774,0
23,0.927,0.109,127880,0.0299,0.273,0.12,-29.542,0.0419,173.603,0.223,0
69,0.257,0.497,190732,0.486,0.0,0.0908,-5.89,0.241,93.955,0.668,1
60,0.0369,0.823,211643,0.49,1.16e-06,0.0807,-8.391,0.429,165.949,0.307,1
65,0.135,0.747,210627,0.716,0.0,0.251,-2.457,0.075,125.008,0.751,1
0,0.957,0.168,290547,0.0484,0.000731,0.568,-28.327,0.0485,81.153,0.0419,0
70,0.0536,0.87,281600,0.645,0.00152,0.0651,-3.956,0.307,94.998,0.746,1
57,0.0631,0.452,191947,0.544,5.33e-06,0.104,-5.423,0.0277,133.042,0.158,1
57,0.995,0.355,282813,0.0164,0.926,0.0986,-28.659,0.0396,67.946,0.0922,0
72,0.615,0.6,225882,0.412,0.0025,0.134,-9.343,0.344,113.049,0.408,1
68,0.0192,0.839,239987,0.804,0.0,0.331,-2.513,0.0329,122.973,0.888,1
62,0.00961,0.582,231707,0.529,0.000554,0.113,-7.637,0.0248,166.134,0.567,1
38,0.971,0.0733,261133,0.0094,0.756,0.127,-27.066,0.0443,77.957,0.035,0
63,0.219,0.651,185757,0.492,0.0,0.105,-9.013,0.0825,165.903,0.82,1
65,0.206,0.64,243200,0.395,0.0,0.0935,-5.689,0.0307,115.082,0.235,1
40,0.983,0.111,398413,0.0597,0.522,0.12,-25.472,0.0523,82.756,0.0392,0
65,0.000539,0.562,244960,0.964,1.57e-06,0.579,-2.991,0.072,138.063,0.41,1
55,0.0227,0.6,192533,0.932,0.0,0.527,-2.16,0.0576,139.048,0.569,1
70,0.0329,0.741,169380,0.863,1.16e-06,0.0669,-4.049,0.0527,99.981,0.864,1
57,0.00427,0.571,205514,0.788,0.645,0.389,-5.161,0.153,177.45,0.0722,1
73,0.413,0.636,265120,0.501,0.0,0.339,-7.26,0.329,82.309,0.196,1
2,0.995,0.485,97093,0.0721,0.832,0.153,-24.557,0.0342,84.603,0.214,0
35,0.993,0.0856,564304,0.108,0.418,0.0989,-23.231,0.0447,80.666,0.0326,0
73,0.0276,0.764,169800,0.76,0.0,0.0451,-2.961,0.0587,92.126,0.513,1
63,0.479,0.587,298000,0.775,6.12e-06,0.174,-8.143,0.374,84.268,0.408,1
66,0.402,0.673,346797,0.419,0.000179,0.112,-8.151,0.0316,135.914,0.171,1
39,0.797,0.194,357453,0.136,0.144,0.321,-23.987,0.0418,77.767,0.302,0
49,0.824,0.132,207987,0.0767,0.961,0.108,-25.957,0.0392,98.145,0.0395,0
29,0.994,0.18,418240,0.0716,0.581,0.125,-18.78,0.0436,130.354,0.0586,0
42,0.993,0.245,328320,0.0466,0.882,0.0981,-29.679,0.0465,151.059,0.178,0
23,0.966,0.353,817600,0.111,0.675,0.119,-22.224,0.0411,119.838,0.336,0
34,0.768,0.088,409640,0.153,0.802,0.185,-18.988,0.0375,67.479,0.112,0
70,0.063,0.688,192253,0.631,0.0,0.108,-5.612,0.13,186.066,0.854,1
71,0.267,0.669,214747,0.396,0.0,0.0913,-8.724,0.0545,86.927,0.546,1
33,0.982,0.206,183613,0.312,0.159,0.381,-13.089,0.0371,92.105,0.0759,0
64,0.263,0.782,170435,0.508,0.0706,0.157,-7.153,0.231,137.954,0.356,1
36,0.991,0.486,307427,0.0528,0.919,0.132,-20.552,0.0458,74.395,0.0766,0
37,0.935,0.399,543200,0.121,0.628,0.108,-16.978,0.0406,91.07,0.209,0
45,0.984,0.0731,101200,0.0257,0.977,0.108,-25.876,0.0509,64.749,0.0393,0
10,0.972,0.235,994867,0.129,0.819,0.324,-16.866,0.0352,95.869,0.0876,0
80,0.233,0.688,208254,0.82,0.0,0.091,-4.715,0.155,107.833,0.804,1
60,0.266,0.934,201933,0.798,4.54e-05,0.0962,-5.665,0.0849,120.162,0.895,1
37,0.988,0.425,423104,0.167,0.823,0.109,-21.171,0.0471,116.732,0.134,0
66,0.0178,0.595,218447,0.662,0.0,0.0804,-6.858,0.0362,96.053,0.417,1
62,0.0799,0.717,228613,0.523,0.0,0.206,-6.506,0.0611,127.047,0.282,1
70,0.0499,0.802,208353,0.755,0.0,0.0781,-4.804,0.106,105.983,0.636,1
30,0.995,0.428,179307,0.00317,0.884,0.0637,-39.47,0.0506,131.822,0.298,0
71,0.0079,0.628,218293,0.833,1.48e-05,0.074,-4.126,0.0282,128.003,0.56,1
59,0.0896,0.74,164469,0.53,0.0,0.303,-8.644,0.278,139.812,0.255,1
62,0.061,0.703,169412,0.737,0.0,0.186,-4.636,0.38,113.299,0.702,1
31,0.953,0.437,584707,0.107,0.916,0.0926,-21.797,0.0473,85.372,0.204,0
72,0.795,0.528,246421,0.284,0.000303,0.109,-11.487,0.0287,76.012,0.172,1
8,0.981,0.197,78000,0.0312,0.365,0.0934,-27.182,0.0394,104.927,0.136,0
63,0.038,0.473,232000,0.604,0.0,0.103,-4.034,0.0337,123.857,0.271,1
76,0.39,0.73,196613,0.861,0.0,0.213,-4.1,0.0451,117.965,0.704,1
72,0.241,0.672,215173,0.623,0.0,0.0848,-5.699,0.0297,92.018,0.617,1
72,0.013,0.649,208467,0.888,2.23e-06,0.0888,-4.807,0.0293,100.975,0.553,1
62,0.00245,0.554,244480,0.891,0.0356,0.266,-7.215,0.0621,96.053,0.441,1
66,0.0266,0.66,235693,0.698,0.0,0.296,-6.266,0.0467,120.959,0.396,1
62,0.000371,0.547,241787,0.84,0.0,0.0562,-4.156,0.0551,85.001,0.479,1
56,0.032,0.73,219307,0.529,0.0,0.0992,-5.758,0.0379,134.967,0.475,1
25,0.988,0.175,262107,0.0864,0.915,0.115,-23.989,0.0461,115.902,0.0392,0
67,0.108,0.747,228300,0.701,0.0,0.0712,-4.902,0.0429,100.012,0.589,1
58,0.64,0.714,182613,0.533,1.7e-06,0.162,-10.405,0.0293,118.107,0.631,1
65,0.0114,0.451,232160,0.632,0.0,0.198,-7.98,0.297,132.89,0.234,1
13,0.996,0.326,99267,0.00259,0.94,0.173,-42.954,0.0566,66.634,0.126,0
66,0.0968,0.728,167587,0.739,0.0,0.0889,-6.95,0.151,125.064,0.311,1
26,0.981,0.476,212307,0.127,0.33,0.238,-18.694,0.0529,145.049,0.909,0
55,0.186,0.514,161239,0.613,0.0,0.284,-6.506,0.212,111.913,0.439,1
32,0.957,0.0715,306147,0.0485,0.928,0.11,-21.753,0.0422,77.504,0.0357,0
0,0.985,0.257,156107,0.121,0.0,0.183,-23.283,0.0607,83.568,0.142,0
70,0.0425,0.493,206209,0.4,1.47e-06,0.133,-8.117,0.0261,91.004,0.15,1
63,0.0347,0.654,252640,0.555,0.0,0.17,-8.24,0.052,107.535,0.11,1
70,0.921,0.496,202496,0.116,0.0,0.0883,-12.147,0.0401,109.826,0.362,1
7,0.978,0.338,573120,0.0491,0.33,0.0838,-26.815,0.0385,127.886,0.286,0
59,0.771,0.704,133560,0.478,0.000516,0.0875,-6.562,0.047,128.789,0.42,1
37,0.955,0.484,321373,0.175,0.936,0.0804,-18.009,0.0333,116.967,0.0385,0
0,0.995,0.421,366893,0.0228,0.908,0.0781,-26.091,0.0557,129.055,0.125,0
35,0.952,0.443,244907,0.106,0.0,0.0814,-17.164,0.1,128.785,0.278,0
29,0.974,0.207,181200,0.102,0.542,0.104,-17.365,0.0384,82.319,0.303,0
39,0.913,0.395,134173,0.0225,0.953,0.156,-32.612,0.0353,117.202,0.217,0
33,0.62,0.304,191067,0.403,0.917,0.0825,-19.946,0.0656,124.544,0.883,0
70,0.00138,0.625,182000,0.855,0.0,0.357,-5.471,0.0389,124.977,0.668,1
32,0.926,0.351,491573,0.151,0.599,0.0906,-21.399,0.0394,134.33,0.213,0
60,0.0634,0.79,248050,0.438,0.0,0.1,-6.462,0.133,90.022,0.247,1
